date,discharge,month,year,average_percentage,percentile,percentile_range
2015-04-30,0.415,4,2015,-0.992,0.100,Low flow
2015-05-31,0.566,5,2015,-0.991,0.098,Low flow
2015-06-30,0.878,6,2015,-0.987,0.049,Low flow
2015-07-31,6.512,7,2015,-0.930,0.098,Low flow
2015-08-31,106.214,8,2015,0.467,0.732,Above normal
2015-09-30,83.014,9,2015,-0.186,0.524,Normal range
2015-10-31,24.258,10,2015,-0.636,0.302,Normal range
2015-11-30,2.979,11,2015,-0.932,0.146,Below normal
2015-12-31,11.906,12,2015,-0.466,0.690,Normal range
2016-01-31,9.316,1,2016,-0.379,0.756,Above normal
2016-02-29,3.361,2,2016,-0.870,0.429,Normal range
2016-03-31,6.437,3,2016,-0.645,0.475,Normal range
2016-04-30,451.547,4,2016,7.569,0.975,High flow
2016-05-31,32.665,5,2016,-0.488,0.610,Normal range
2016-06-30,28.673,6,2016,-0.591,0.415,Normal range
2016-07-31,92.402,7,2016,-0.001,0.537,Normal range
2016-08-31,32.433,8,2016,-0.552,0.268,Below normal
2016-09-30,104.300,9,2016,0.022,0.667,Normal range
2016-10-31,22.222,10,2016,-0.666,0.279,Below normal
2016-11-30,16.642,11,2016,-0.621,0.537,Normal range
2016-12-31,2.218,12,2016,-0.901,0.333,Normal range
2017-01-31,10.986,1,2017,-0.268,0.780,Above normal
2017-02-28,16.448,2,2017,-0.364,0.667,Normal range
2017-03-31,,3,2017,,,
2017-04-30,,4,2017,,,
2017-05-31,90.562,5,2017,0.420,0.756,Above normal
2017-06-30,19.744,6,2017,-0.718,0.268,Below normal
2017-07-31,48.557,7,2017,-0.475,0.439,Normal range
2017-08-31,195.684,8,2017,1.703,0.951,High flow
2017-09-30,169.260,9,2017,0.659,0.786,Above normal
2017-10-31,88.282,10,2017,0.325,0.744,Above normal
2017-11-30,9.182,11,2017,-0.791,0.415,Normal range
2017-12-31,1.899,12,2017,-0.915,0.262,Below normal
2018-01-31,3.786,1,2018,-0.748,0.488,Normal range
2018-02-28,1.259,2,2018,-0.951,0.238,Below normal
2018-03-31,1.281,3,2018,-0.929,0.300,Normal range
2018-04-30,3.578,4,2018,-0.932,0.325,Normal range
2018-05-31,4.470,5,2018,-0.930,0.220,Below normal
2018-06-30,24.137,6,2018,-0.656,0.317,Normal range
2018-07-31,236.922,7,2018,1.561,0.902,High flow
2018-08-31,57.807,8,2018,-0.202,0.488,Normal range
2018-09-30,196.971,9,2018,0.930,0.857,Above normal
2018-10-31,119.730,10,2018,0.797,0.791,Above normal
2018-11-30,4.134,11,2018,-0.906,0.195,Below normal
2018-12-31,4.682,12,2018,-0.790,0.476,Normal range
