date,discharge,month,year,average_percentage,percentile,percentile_range
2008-11-30,0.688,11,2008,-0.940,0.049,Low flow
2008-12-31,0.583,12,2008,-0.953,0.049,Low flow
2009-01-31,0.242,1,2009,-0.964,0.073,Low flow
2009-02-28,0.810,2,2009,-0.935,0.146,Below normal
2009-03-31,8.545,3,2009,-0.349,0.732,Above normal
2009-04-30,1.052,4,2009,-0.905,0.143,Below normal
2009-05-31,2.472,5,2009,-0.841,0.238,Below normal
2009-06-30,10.564,6,2009,-0.650,0.286,Normal range
2009-07-31,44.246,7,2009,0.556,0.833,Above normal
2009-08-31,11.946,8,2009,-0.516,0.238,Below normal
2009-09-30,9.817,9,2009,-0.667,0.350,Normal range
2009-10-31,46.245,10,2009,1.081,0.800,Above normal
2009-11-30,21.970,11,2009,0.926,0.829,Above normal
2009-12-31,4.433,12,2009,-0.643,0.610,Normal range
2010-01-31,2.219,1,2010,-0.666,0.610,Normal range
2010-02-28,62.535,2,2010,4.002,0.927,High flow
2010-03-31,4.464,3,2010,-0.660,0.537,Normal range
2010-04-30,2.895,4,2010,-0.738,0.429,Normal range
2010-05-31,2.947,5,2010,-0.810,0.262,Below normal
2010-06-30,17.256,6,2010,-0.428,0.405,Normal range
2010-07-31,34.106,7,2010,0.199,0.690,Normal range
2010-08-31,20.591,8,2010,-0.165,0.476,Normal range
2010-09-30,82.348,9,2010,1.789,0.975,High flow
2010-10-31,4.148,10,2010,-0.813,0.325,Normal range
2010-11-30,3.288,11,2010,-0.712,0.293,Normal range
2010-12-31,1.453,12,2010,-0.883,0.366,Normal range
2011-01-31,0.808,1,2011,-0.878,0.317,Normal range
2011-02-28,1.641,2,2011,-0.869,0.366,Normal range
2011-03-31,1.428,3,2011,-0.891,0.366,Normal range
2011-04-30,1.754,4,2011,-0.842,0.286,Normal range
2011-05-31,2.157,5,2011,-0.861,0.190,Below normal
2011-06-30,,6,2011,,,
2011-07-31,,7,2011,,,
2011-08-31,,8,2011,,,
2011-09-30,,9,2011,,,
2011-10-31,,10,2011,,,
2011-11-30,,11,2011,,,
2011-12-31,,12,2011,,,
2012-01-31,,1,2012,,,
2012-02-29,,2,2012,,,
2012-03-31,,3,2012,,,
2012-04-30,,4,2012,,,
2012-05-31,,5,2012,,,
2012-06-30,,6,2012,,,
2012-07-31,,7,2012,,,
2012-08-31,27.273,8,2012,0.106,0.667,Normal range
2012-09-30,9.042,9,2012,-0.694,0.325,Normal range
2012-10-31,53.300,10,2012,1.399,0.825,Above normal
2012-11-30,13.695,11,2012,0.201,0.683,Normal range
2012-12-31,57.879,12,2012,3.657,0.951,High flow
2013-01-31,11.789,1,2013,0.775,0.829,Above normal
2013-02-28,3.910,2,2013,-0.687,0.756,Above normal
2013-03-31,2.017,3,2013,-0.846,0.463,Normal range
2013-04-30,10.346,4,2013,-0.065,0.762,Above normal
2013-05-31,11.850,5,2013,-0.236,0.643,Normal range
2013-06-30,5.274,6,2013,-0.825,0.190,Below normal
2013-07-31,28.912,7,2013,0.017,0.643,Normal range
2013-08-31,32.390,8,2013,0.313,0.810,Above normal
2013-09-30,75.269,9,2013,1.549,0.925,High flow
2013-10-31,3.911,10,2013,-0.824,0.300,Normal range
2013-11-30,7.676,11,2013,-0.327,0.439,Normal range
2013-12-31,1.149,12,2013,-0.908,0.220,Below normal
2014-01-31,36.707,1,2014,4.526,0.951,High flow
2014-02-28,94.453,2,2014,6.555,0.976,High flow
2014-03-31,7.243,3,2014,-0.448,0.707,Normal range
2014-04-30,29.095,4,2014,1.628,0.833,Above normal
2014-05-31,18.583,5,2014,0.198,0.714,Normal range
2014-06-30,10.591,6,2014,-0.649,0.310,Normal range
2014-07-31,41.530,7,2014,0.460,0.738,Above normal
2014-08-31,8.781,8,2014,-0.644,0.190,Below normal
2014-09-30,70.353,9,2014,1.383,0.900,High flow
2014-10-31,15.583,10,2014,-0.299,0.625,Normal range
2014-11-30,20.456,11,2014,0.793,0.756,Above normal
2014-12-31,33.244,12,2014,1.675,0.902,High flow
2015-01-31,2.097,1,2015,-0.684,0.585,Normal range
2015-02-28,0.879,2,2015,-0.930,0.171,Below normal
2015-03-31,0.863,3,2015,-0.934,0.171,Below normal
2015-04-30,0.473,4,2015,-0.957,0.024,Low flow
